,target_var,condition_var,condition_val,intervention,prob
0,X36,X92,0,1,0.9673343896865845
1,X36,X92,0,0,0.9625640511512756
2,X36,X92,1,1,0.9686352610588074
3,X36,X92,1,0,0.9641430974006653
4,X62,X84,0,1,0.06298591941595078
5,X62,X84,0,0,0.07982304692268372
6,X62,X84,1,1,0.06252109259366989
7,X62,X84,1,0,0.0757436603307724
8,X77,X79,0,1,0.3036164343357086
9,X77,X79,0,0,0.30957257747650146
10,X77,X79,1,1,0.3094140291213989
11,X77,X79,1,0,0.322754830121994
12,X32,X14,0,1,0.07932022958993912
13,X32,X14,0,0,0.08255825936794281
14,X32,X14,1,1,0.07866401970386505
15,X32,X14,1,0,0.07997406274080276
16,X2,X25,0,1,0.27871304750442505
17,X2,X25,0,0,0.2832418978214264
18,X2,X25,1,1,0.2792039215564728
19,X2,X25,1,0,0.273342490196228
20,X30,X46,0,1,0.12072742730379105
21,X30,X46,0,0,0.12680628895759583
22,X30,X46,1,1,0.11882753670215607
23,X30,X46,1,0,0.12342309206724167
24,X56,X16,0,1,0.43519389629364014
25,X56,X16,0,0,0.4357645809650421
26,X56,X16,1,1,0.43406441807746887
27,X56,X16,1,0,0.43246617913246155
28,X58,X44,0,1,0.4009532034397125
29,X58,X44,0,0,0.41166695952415466
30,X58,X44,1,1,0.38971689343452454
31,X58,X44,1,0,0.39268726110458374
32,X43,X63,0,1,0.00486006960272789
33,X43,X63,0,0,0.005307949148118496
34,X43,X63,1,1,0.004725365899503231
35,X43,X63,1,0,0.004882833454757929
36,X79,X54,0,1,0.9698636531829834
37,X79,X54,0,0,0.9672459959983826
38,X79,X54,1,1,0.9702610373497009
39,X79,X54,1,0,0.9678906798362732
40,X24,X66,0,1,0.00021400605328381062
41,X24,X66,0,0,0.00017550543998368084
42,X24,X66,1,1,0.000196756242075935
43,X24,X66,1,0,0.00020913875778205693
44,X9,X17,0,1,0.0745140090584755
45,X9,X17,0,0,0.07882416993379593
46,X9,X17,1,1,0.07130692899227142
47,X9,X17,1,0,0.07325433939695358
48,X99,X59,0,1,0.40680375695228577
49,X99,X59,0,0,0.5365681052207947
50,X99,X59,1,1,0.40953391790390015
51,X99,X59,1,0,0.41732528805732727
52,X92,X11,0,1,0.8474906086921692
53,X92,X11,0,0,0.848132312297821
54,X92,X11,1,1,0.8477187752723694
55,X92,X11,1,0,0.8475763201713562
56,X28,X8,0,1,0.5364101529121399
57,X28,X8,0,0,0.5372903347015381
58,X28,X8,1,1,0.5440453886985779
59,X28,X8,1,0,0.5488551259040833
60,X27,X85,0,1,0.4255830943584442
61,X27,X85,0,0,0.43160873651504517
62,X27,X85,1,1,0.4240444302558899
63,X27,X85,1,0,0.4232049584388733
64,X77,X36,0,1,0.32002097368240356
65,X77,X36,0,0,0.33033785223960876
66,X77,X36,1,1,0.31892889738082886
67,X77,X36,1,0,0.32766199111938477
68,X17,X69,0,1,0.8451951742172241
69,X17,X69,0,0,0.7942084074020386
70,X17,X69,1,1,0.8649937510490417
71,X17,X69,1,0,0.8656293749809265
72,X9,X51,0,1,0.07121427357196808
73,X9,X51,0,0,0.07894834876060486
74,X9,X51,1,1,0.06884822249412537
75,X9,X51,1,0,0.07377957552671432
76,X85,X37,0,1,0.33335080742836
77,X85,X37,0,0,0.3289821147918701
78,X85,X37,1,1,0.32920995354652405
79,X85,X37,1,0,0.32197755575180054
80,X38,X24,0,1,0.42998605966567993
81,X38,X24,0,0,0.44236478209495544
82,X38,X24,1,1,0.429246187210083
83,X38,X24,1,0,0.43925589323043823
84,X71,X30,0,1,0.481330007314682
85,X71,X30,0,0,0.47847720980644226
86,X71,X30,1,1,0.4791150391101837
87,X71,X30,1,0,0.47536367177963257
88,X65,X27,0,1,0.7320130467414856
89,X65,X27,0,0,0.7383084297180176
90,X65,X27,1,1,0.7361961603164673
91,X65,X27,1,0,0.7370335459709167
