,target_var,condition_var,condition_val,intervention,prob
0,X93,X23,0,1,0.46616819500923157
1,X93,X23,0,0,0.4615075886249542
2,X93,X23,1,1,0.4631597101688385
3,X93,X23,1,0,0.4638599753379822
4,X9,X29,0,1,0.5914197564125061
5,X9,X29,0,0,0.5891472101211548
6,X9,X29,1,1,0.5873048305511475
7,X9,X29,1,0,0.567934513092041
8,X56,X8,0,1,0.580207347869873
9,X56,X8,0,0,0.5767256617546082
10,X56,X8,1,1,0.579387366771698
11,X56,X8,1,0,0.5805323123931885
12,X86,X45,0,1,0.6511563062667847
13,X86,X45,0,0,0.6592841148376465
14,X86,X45,1,1,0.6493352055549622
15,X86,X45,1,0,0.6553151607513428
16,X10,X45,0,1,0.8175553679466248
17,X10,X45,0,0,0.817328155040741
18,X10,X45,1,1,0.8190555572509766
19,X10,X45,1,0,0.8160666823387146
20,X15,X65,0,1,0.8384881019592285
21,X15,X65,0,0,0.8445404767990112
22,X15,X65,1,1,0.8368180394172668
23,X15,X65,1,0,0.8341273665428162
24,X81,X74,0,1,0.9310237765312195
25,X81,X74,0,0,0.9340367913246155
26,X81,X74,1,1,0.9393522143363953
27,X81,X74,1,0,0.9520837664604187
28,X90,X94,0,1,0.8771246671676636
29,X90,X94,0,0,0.8697862029075623
30,X90,X94,1,1,0.8780568838119507
31,X90,X94,1,0,0.8693809509277344
32,X25,X59,0,1,0.6127946972846985
33,X25,X59,0,0,0.6176128387451172
34,X25,X59,1,1,0.5896633267402649
35,X25,X59,1,0,0.5953216552734375
36,X18,X62,0,1,0.4599662125110626
37,X18,X62,0,0,0.4672137498855591
38,X18,X62,1,1,0.45705339312553406
39,X18,X62,1,0,0.4594711661338806
40,X9,X93,0,1,0.5754778385162354
41,X9,X93,0,0,0.5556961297988892
42,X9,X93,1,1,0.5896701812744141
43,X9,X93,1,0,0.595300018787384
44,X80,X56,0,1,0.6037931442260742
45,X80,X56,0,0,0.5908467173576355
46,X80,X56,1,1,0.6025605201721191
47,X80,X56,1,0,0.5832070708274841
48,X26,X48,0,1,0.43791595101356506
49,X26,X48,0,0,0.43786126375198364
50,X26,X48,1,1,0.43825194239616394
51,X26,X48,1,0,0.43812796473503113
52,X34,X20,0,1,0.09749726206064224
53,X34,X20,0,0,0.09852980077266693
54,X34,X20,1,1,0.09721189737319946
55,X34,X20,1,0,0.0981084331870079
56,X28,X49,0,1,0.5536306500434875
57,X28,X49,0,0,0.5538182854652405
58,X28,X49,1,1,0.5546671748161316
59,X28,X49,1,0,0.5562301278114319
60,X49,X74,0,1,0.4907160997390747
61,X49,X74,0,0,0.48892441391944885
62,X49,X74,1,1,0.4903259575366974
