,target_var,condition_var,condition_val,intervention,prob,prob_std,prop_valid,n_intermediate,prop_d_separating,all_intermediate_vars
0,X88,X14,0,0,0.9488214999437332,0.1520477682352066,1.0,6.0,1.0,"['X55', 'X79', 'X9', 'X45', 'X71', 'X95']"
1,X88,X14,0,1,0.9361613780260086,0.18965777184112279,1.0,6.0,1.0,"['X55', 'X79', 'X9', 'X45', 'X71', 'X95']"
2,X88,X14,1,0,0.051641602265590336,0.0787662937361753,1.0,6.0,1.0,"['X55', 'X79', 'X9', 'X45', 'X71', 'X95']"
3,X88,X14,1,1,9.240165818482637e-05,6.592784831383193e-07,1.0,6.0,1.0,"['X55', 'X79', 'X9', 'X45', 'X71', 'X95']"
4,X99,X65,0,0,0.0009821942076086998,0.0,1.0,1.0,1.0,['X27']
5,X99,X65,0,1,0.16605655569583178,0.19852076427235255,1.0,1.0,1.0,['X27']
6,X99,X65,1,0,0.715064287185669,0.0,1.0,1.0,1.0,['X27']
7,X99,X65,1,1,0.32868294678628446,0.16219731643795965,1.0,1.0,1.0,['X27']
8,X43,X37,0,0,0.9995022058486939,0.00021471550744717825,1.0,5.0,1.0,"['X55', 'X77', 'X93', 'X11', 'X8']"
9,X43,X37,0,1,0.29080714788287876,0.4307170305020992,1.0,5.0,1.0,"['X55', 'X77', 'X93', 'X11', 'X8']"
10,X43,X37,1,0,0.0003211459086742252,4.414918400725201e-06,1.0,5.0,1.0,"['X55', 'X77', 'X93', 'X11', 'X8']"
11,X43,X37,1,1,0.16803951961919666,0.3246682136319957,1.0,5.0,1.0,"['X55', 'X77', 'X93', 'X11', 'X8']"
12,X33,X99,0,0,0.9821836113929748,0.0026202164357391113,1.0,10.0,1.0,"['X54', 'X3', 'X66', 'X49', 'X56', 'X52', 'X27', 'X34', 'X80', 'X72']"
13,X33,X99,0,1,0.8819500545971095,0.29092809411612447,1.0,10.0,1.0,"['X54', 'X3', 'X66', 'X49', 'X56', 'X52', 'X27', 'X34', 'X80', 'X72']"
14,X33,X99,1,0,0.6763690678402782,0.4422618926184943,1.0,10.0,1.0,"['X54', 'X3', 'X66', 'X49', 'X56', 'X52', 'X27', 'X34', 'X80', 'X72']"
