,target_var,condition_var,condition_val,intervention,prob,prob_std
0,X2,X22,False,0,0.8990957021713257,0.00013793437431519875
1,X2,X22,False,1,0.8261984586715698,0.0
2,X2,X22,True,0,0.15406401455402374,0.0
3,X2,X22,True,1,0.20004577934741974,0.0
4,X2,X91,False,0,0.7801393985748291,0.003204168896363805
5,X2,X91,False,1,0.8234448313713074,0.003727556430940159
6,X2,X91,True,0,0.3057050406932831,0.0013680345569552245
7,X2,X91,True,1,0.2960280179977417,0.0014619322167958406
8,X22,X2,False,0,0.9782356321811676,0.006344924672568924
9,X22,X2,False,1,0.8345598340034485,0.10079519653592482
10,X22,X2,True,0,0.2838348835706711,0.002186847910578402
11,X22,X2,True,1,0.5507665574550629,0.0017556569138549648
12,X22,X3,False,0,0.9529187083244324,0.0
13,X22,X3,False,1,0.7964927792549134,0.0004701605674936774
14,X22,X3,True,0,0.38705703616142273,0.00687757145399504
15,X22,X3,True,1,0.5965739905834198,0.012219330653414602
16,X22,X32,False,0,0.18738120198249816,0.0008990808758204336
17,X22,X32,False,1,0.2598283261060715,0.0007713749410619974
18,X22,X32,True,0,0.9759362459182739,0.00022138360268610853
19,X22,X32,True,1,0.9305475354194641,0.0
20,X3,X22,False,0,0.8834117650985718,0.0
21,X3,X22,False,1,0.706840991973877,0.0
22,X3,X22,True,0,0.2391853526234627,0.21579134990583873
23,X3,X22,True,1,0.41041314601898193,0.33974097412559023
24,X3,X56,False,0,0.30214521288871765,0.11219309581069895
25,X3,X56,False,1,0.4737115800380707,0.15799350928711509
26,X3,X56,True,0,0.5775286257266998,0.3240102338668485
27,X3,X56,True,1,0.43543408066034317,0.3211289521259053
28,X3,X66,False,0,0.9057635068893433,0.044068408675889355
29,X3,X66,False,1,0.575291819870472,0.35216107632062466
30,X3,X66,True,0,0.022211338579654693,0.0015451866758489025
31,X3,X66,True,1,0.3120815992355347,0.051459863242064294
32,X3,X91,False,0,0.8396987080574035,0.002927119280822913
33,X3,X91,False,1,0.8752425670623779,0.0010077238847210524
34,X3,X91,True,0,0.3273803174495697,0.0003378556547520384
35,X3,X91,True,1,0.22981199026107788,0.0007338189757421098
36,X30,X9,False,0,0.831381893157959,0.00012206381635218853
37,X30,X9,False,1,0.6886051416397094,0.0003114801193883038
38,X30,X9,True,0,0.4318116009235382,0.001984950663997721
39,X30,X9,True,1,0.4781072914600372,0.0015750254661312589
40,X31,X68,False,0,0.06610606983304024,0.0022947587529871813
