,target_var,condition_var,condition_val,intervention,prob,prob_std
0,X0,X32,False,0,0.09988152980804443,0.0
1,X0,X32,False,1,0.8208880394697189,0.3418719300263288
2,X0,X32,True,0,0.9976146221160889,0.0
3,X0,X32,True,1,0.936714643239975,0.1710838797442984
4,X13,X52,False,0,0.008412309922277927,0.0
5,X13,X52,False,1,0.7015617862343788,0.47672855059758107
6,X13,X52,True,0,0.8989030015654862,0.3104605672925084
7,X13,X52,True,1,0.8001785159111023,0.4156597394778335
8,X14,X65,False,0,0.06349920481443405,0.0
9,X14,X65,False,1,0.46617999821901324,0.210809950252229
10,X14,X65,True,0,0.4803953468799591,0.0
11,X14,X65,True,1,0.3469157040119171,0.2423865928695817
12,X14,X80,False,0,0.9835763573646545,0.0
13,X14,X80,False,1,0.4962402896489948,0.517774407258796
14,X14,X80,True,0,0.003453727113083005,0.0
15,X14,X80,True,1,0.4954126353841275,0.5172316124612523
16,X21,X26,False,0,0.37761104106903076,0.0
17,X21,X26,False,1,0.8628867149353028,0.2772041373365641
18,X21,X26,True,0,0.993359386920929,0.0
19,X21,X26,True,1,0.8016172289848328,0.31097948430142935
20,X21,X62,False,0,0.4900589793920517,0.18291617158894807
21,X21,X62,False,1,0.4415298581123352,0.15573042175436633
22,X21,X62,True,0,0.80451899766922,0.0
23,X21,X62,True,1,0.47504616975784303,0.1797486296510795
24,X21,X80,False,0,0.7903424501419067,0.0
25,X21,X80,False,1,0.6388595879077912,0.0023433916663112434
26,X21,X80,True,0,0.4070628881454468,0.0
27,X21,X80,True,1,0.6249617815017701,0.0043908174299123
28,X26,X21,False,0,0.10079192413249985,0.3146360759207165
29,X26,X21,False,1,0.4011026089079678,0.5150752931065938
30,X26,X21,True,0,0.9978756904602051,0.0
31,X26,X21,True,1,0.30129392810631545,0.4818432379087035
32,X26,X62,False,0,0.40038950585294514,0.51566733480399
33,X26,X62,False,1,0.4004096323624253,0.5157026972597778
34,X26,X62,True,0,0.8994328744476661,0.3155968619337456
35,X26,X62,True,1,0.2006550989113748,0.4210683660718816
36,X26,X74,False,0,0.6004571668803692,0.5138563001144647
37,X26,X74,False,1,0.6011156651191414,0.5141741184958293
38,X26,X74,True,0,0.10233603622764349,0.31477662602291856
39,X26,X74,True,1,0.20253991652280093,0.4199635216546788
40,X26,X9,False,0,0.7003525541629643,0.48051203483385674
41,X26,X9,False,1,0.7003610270097852,0.48169008397788354
42,X26,X9,True,0,0.39983363894280044,0.5144259840825297
43,X26,X9,True,1,0.40098020234145226,0.5151063622141817
44,X32,X0,False,0,0.0661865240894258,0.18393286377021986
45,X32,X0,False,1,0.1751378059387207,0.3173129641098892
46,X32,X0,True,0,0.6056601487100124,0.29493287783992
47,X32,X0,True,1,0.5128480728715659,0.33407053946545295
48,X32,X40,False,0,0.6855890154838562,0.0
49,X32,X40,False,1,0.6379839479923248,0.08916369732739401
50,X32,X40,True,0,0.05399528164416552,0.0425341460703025
51,X32,X40,True,1,0.21785399317741394,0.10591824009178288
52,X38,X49,False,0,0.9912421703338623,0.0
53,X38,X49,False,1,0.44193252325057986,0.4231398866352882
54,X38,X49,True,0,0.0018336839275434613,0.0
55,X38,X49,True,1,0.24147180914878846,0.3519891939683546
56,X38,X58,False,0,0.3977254127617925,0.5123339472674966
57,X38,X58,False,1,0.39544539055787026,0.5058001043351334
58,X38,X58,True,0,0.9962903261184692,0.0
59,X38,X58,True,1,0.5909937906078995,0.5061116726326391
60,X38,X7,False,0,0.12712405622005463,0.0
61,X38,X7,False,1,0.332841682434082,0.3379060811567206
62,X38,X7,True,0,0.9737284183502197,0.0
63,X38,X7,True,1,0.5750306248664856,0.41912868155459226
64,X40,X32,False,0,0.7006512820720673,0.03921405652718644
65,X40,X32,False,1,0.6283351898193359,0.160934218125259
66,X40,X32,True,0,0.015713367611169815,0.0
67,X40,X32,True,1,0.24212795495986938,0.1226462024493905
68,X40,X50,False,0,0.06386774778366089,0.0
69,X40,X50,False,1,0.5081648007035255,0.47557517809032307
70,X40,X50,True,0,0.7513214573264122,0.35932484104906187
71,X40,X50,True,1,0.32206535898149014,0.4371207712304917
72,X45,X70,False,0,0.5443191528320312,0.0
73,X45,X70,False,1,0.5528296828269958,0.0
74,X45,X70,True,0,0.9968804121017456,0.0
75,X45,X70,True,1,0.9974707365036011,0.0
76,X48,X56,False,0,0.10154261887073517,0.04570696341478934
77,X48,X56,False,1,0.5073372572660446,0.489910945975198
78,X48,X56,True,0,0.9724459052085876,0.0
79,X48,X56,True,1,0.7006095059216022,0.42889893869828016
80,X49,X38,False,0,0.9983900785446167,0.0
81,X49,X38,False,1,0.4001324386801571,0.5148916283152101
82,X49,X38,True,0,0.0005264838691800833,0.0
83,X49,X38,True,1,0.30020175197860227,0.48164118850828
84,X49,X7,False,0,0.9313622117042542,0.0
85,X49,X7,False,1,0.501208022236824,0.27908242666752175
86,X49,X7,True,0,0.00027162424521520734,0.0
87,X49,X7,True,1,0.38629206717014314,0.2802876765860222
88,X50,X40,False,0,0.07556706666946411,0.0
89,X50,X40,False,1,0.24613829255104064,0.3892933111504351
90,X50,X40,True,0,0.6085287570953369,0.47380437573579365
91,X50,X40,True,1,0.23977997303009033,0.3921587102328293
92,X50,X97,False,0,0.06589017808437347,0.0
93,X50,X97,False,1,0.1578251138329506,0.29098871119340386
94,X50,X97,True,0,0.6117721423506737,0.4735128938417208
95,X50,X97,True,1,0.24021896123886108,0.3923995330700117
96,X52,X13,False,0,0.18926121294498444,0.0
97,X52,X13,False,1,0.7466647580265999,0.40564939378952863
98,X52,X13,True,0,0.999182403087616,0.0
99,X52,X13,True,1,0.9311274796724319,0.21354894090590698
100,X53,X7,False,0,0.6907574713230134,0.1266487740543878
